Symptom 1,Symptom 2,Symptom 3,Medicine
heartburn,skin rash,muscle pain,"Cetirizine, Aciloc, Paracetamol"
itchy eyes,,,Cetirizine
fever,itchy eyes,muscle pain,"Cetirizine, Paracetamol"
runny nose,,,Cetirizine
sore throat,headache,joint pain,"Azithromycin, Paracetamol, Diclofenac"
respiratory infection,sneezing,muscle pain,"Cetirizine, Azithromycin, Paracetamol"
fungal infection,cough,,"Cetirizine, Azithromycin"
stomach acid,,,Aciloc
headache,,,Paracetamol
headache,,,Paracetamol
heartburn,,,Aciloc
joint pain,,,Diclofenac
diarrhea,,,Lomotil
sore throat,diarrhea,,"Azithromycin, Lomotil"
pain,,,Diclofenac
sneezing,fungal infection,,Cetirizine
muscle pain,respiratory infection,stomach acid,"Azithromycin, Paracetamol, Aciloc"
joint pain,,,Diclofenac
fungal infection,fever,inflammation,"Cetirizine, Paracetamol, Diclofenac"
headache,fungal infection,cough,"Cetirizine, Azithromycin, Paracetamol"
skin rash,itchy eyes,,Cetirizine
muscle pain,sneezing,inflammation,"Cetirizine, Paracetamol, Diclofenac"
headache,muscle pain,fever,Paracetamol
runny nose,stomach cramps,nausea,"Cetirizine, Aciloc, Lomotil"
sneezing,pain,nausea,"Cetirizine, Aciloc, Diclofenac"
itchy eyes,runny nose,,Cetirizine
skin rash,,,Cetirizine
fever,,,Paracetamol
joint pain,inflammation,,Diclofenac
sneezing,respiratory infection,,"Cetirizine, Azithromycin"
fungal infection,,,Cetirizine
heartburn,,,Aciloc
respiratory infection,itchy eyes,,"Cetirizine, Azithromycin"
itchy eyes,sneezing,nausea,"Cetirizine, Aciloc"
pain,stomach acid,fungal infection,"Cetirizine, Aciloc, Diclofenac"
respiratory infection,cough,stomach acid,"Azithromycin, Aciloc"
nausea,sore throat,,"Azithromycin, Aciloc"
headache,muscle pain,fever,Paracetamol
headache,,,Paracetamol
stomach cramps,stomach acid,,"Aciloc, Lomotil"
headache,heartburn,inflammation,"Aciloc, Paracetamol, Diclofenac"
nausea,,,Aciloc
cough,skin rash,,"Cetirizine, Azithromycin"
sore throat,diarrhea,,"Azithromycin, Lomotil"
diarrhea,stomach acid,fungal infection,"Cetirizine, Aciloc, Lomotil"
diarrhea,joint pain,,"Lomotil, Diclofenac"
inflammation,headache,runny nose,"Cetirizine, Paracetamol, Diclofenac"
heartburn,,,Aciloc
pain,fungal infection,,"Cetirizine, Diclofenac"
stomach cramps,respiratory infection,,"Azithromycin, Lomotil"
skin rash,stomach acid,itchy eyes,"Cetirizine, Aciloc"
skin rash,sore throat,,"Cetirizine, Azithromycin"
stomach cramps,skin rash,,"Cetirizine, Lomotil"
diarrhea,stomach cramps,,Lomotil
pain,,,Diclofenac
sore throat,,,Azithromycin
bacterial infection,stomach acid,,"Azithromycin, Aciloc"
inflammation,,,Diclofenac
pain,bacterial infection,,"Azithromycin, Diclofenac"
fungal infection,joint pain,skin rash,"Cetirizine, Diclofenac"
nausea,joint pain,,"Aciloc, Diclofenac"
respiratory infection,joint pain,,"Azithromycin, Diclofenac"
cough,heartburn,stomach cramps,"Azithromycin, Lomotil, Aciloc"
nausea,diarrhea,,"Aciloc, Lomotil"
bacterial infection,fungal infection,cough,"Cetirizine, Azithromycin"
runny nose,nausea,,"Cetirizine, Aciloc"
nausea,,,Aciloc
pain,,,Diclofenac
joint pain,,,Diclofenac
pain,nausea,,"Aciloc, Diclofenac"
respiratory infection,runny nose,,"Cetirizine, Azithromycin"
bacterial infection,,,Azithromycin
inflammation,,,Diclofenac
stomach acid,runny nose,bacterial infection,"Cetirizine, Aciloc, Azithromycin"
headache,sore throat,,"Azithromycin, Paracetamol"
itchy eyes,fever,,"Cetirizine, Paracetamol"
headache,joint pain,,"Paracetamol, Diclofenac"
stomach acid,,,Aciloc
joint pain,fungal infection,fever,"Cetirizine, Paracetamol, Diclofenac"
stomach cramps,stomach acid,,"Aciloc, Lomotil"
nausea,,,Aciloc
heartburn,bacterial infection,pain,"Azithromycin, Aciloc, Diclofenac"
diarrhea,,,Lomotil
bacterial infection,,,Azithromycin
skin rash,heartburn,,"Cetirizine, Aciloc"
skin rash,,,Cetirizine
inflammation,respiratory infection,headache,"Azithromycin, Paracetamol, Diclofenac"
stomach cramps,,,Lomotil
headache,skin rash,,"Cetirizine, Paracetamol"
sneezing,pain,respiratory infection,"Cetirizine, Azithromycin, Diclofenac"
joint pain,diarrhea,sore throat,"Azithromycin, Lomotil, Diclofenac"
fever,sneezing,,"Cetirizine, Paracetamol"
skin rash,inflammation,,"Cetirizine, Diclofenac"
joint pain,,,Diclofenac
stomach cramps,sore throat,stomach acid,"Azithromycin, Lomotil, Aciloc"
pain,fungal infection,muscle pain,"Cetirizine, Paracetamol, Diclofenac"
stomach acid,sneezing,inflammation,"Cetirizine, Aciloc, Diclofenac"
bacterial infection,inflammation,,"Azithromycin, Diclofenac"
joint pain,,,Diclofenac
stomach cramps,,,Lomotil
cough,,,Azithromycin
respiratory infection,fungal infection,,"Cetirizine, Azithromycin"
cough,fever,pain,"Azithromycin, Paracetamol, Diclofenac"
itchy eyes,,,Cetirizine
pain,stomach cramps,,"Lomotil, Diclofenac"
runny nose,joint pain,muscle pain,"Cetirizine, Paracetamol, Diclofenac"
joint pain,,,Diclofenac
stomach acid,pain,,"Aciloc, Diclofenac"
bacterial infection,stomach cramps,headache,"Azithromycin, Lomotil, Paracetamol"
fever,muscle pain,cough,"Azithromycin, Paracetamol"
joint pain,stomach cramps,,"Lomotil, Diclofenac"
stomach cramps,cough,,"Azithromycin, Lomotil"
nausea,,,Aciloc
runny nose,,,Cetirizine
runny nose,cough,skin rash,"Cetirizine, Azithromycin"
muscle pain,diarrhea,fungal infection,"Cetirizine, Lomotil, Paracetamol"
inflammation,nausea,muscle pain,"Aciloc, Paracetamol, Diclofenac"
stomach cramps,pain,,"Lomotil, Diclofenac"
fungal infection,pain,,"Cetirizine, Diclofenac"
fungal infection,sneezing,headache,"Cetirizine, Paracetamol"
bacterial infection,stomach acid,,"Azithromycin, Aciloc"
skin rash,,,Cetirizine
skin rash,,,Cetirizine
heartburn,,,Aciloc
respiratory infection,diarrhea,,"Azithromycin, Lomotil"
diarrhea,,,Lomotil
runny nose,itchy eyes,heartburn,"Cetirizine, Aciloc"
skin rash,,,Cetirizine
stomach acid,muscle pain,,"Aciloc, Paracetamol"
stomach acid,,,Aciloc
runny nose,sore throat,,"Cetirizine, Azithromycin"
cough,,,Azithromycin
sneezing,inflammation,stomach cramps,"Cetirizine, Lomotil, Diclofenac"
pain,cough,respiratory infection,"Azithromycin, Diclofenac"
heartburn,respiratory infection,,"Azithromycin, Aciloc"
sneezing,,,Cetirizine
diarrhea,skin rash,fever,"Cetirizine, Lomotil, Paracetamol"
sore throat,respiratory infection,,Azithromycin
heartburn,nausea,,Aciloc
headache,,,Paracetamol
nausea,,,Aciloc
diarrhea,muscle pain,fungal infection,"Cetirizine, Lomotil, Paracetamol"
inflammation,joint pain,stomach acid,"Aciloc, Diclofenac"
fever,stomach cramps,,"Lomotil, Paracetamol"
fungal infection,skin rash,respiratory infection,"Cetirizine, Azithromycin"
fever,nausea,,"Aciloc, Paracetamol"
fever,runny nose,,"Cetirizine, Paracetamol"
skin rash,cough,,"Cetirizine, Azithromycin"
runny nose,,,Cetirizine
itchy eyes,,,Cetirizine
stomach cramps,runny nose,,"Cetirizine, Lomotil"
inflammation,diarrhea,cough,"Azithromycin, Lomotil, Diclofenac"
inflammation,bacterial infection,stomach acid,"Azithromycin, Aciloc, Diclofenac"
diarrhea,respiratory infection,,"Azithromycin, Lomotil"
itchy eyes,pain,fever,"Cetirizine, Paracetamol, Diclofenac"
runny nose,diarrhea,,"Cetirizine, Lomotil"
heartburn,,,Aciloc
stomach cramps,bacterial infection,skin rash,"Cetirizine, Azithromycin, Lomotil"
fungal infection,,,Cetirizine
cough,pain,fever,"Azithromycin, Paracetamol, Diclofenac"
fever,sore throat,bacterial infection,"Azithromycin, Paracetamol"
runny nose,respiratory infection,,"Cetirizine, Azithromycin"
sore throat,,,Azithromycin
runny nose,joint pain,sore throat,"Cetirizine, Azithromycin, Diclofenac"
headache,cough,respiratory infection,"Azithromycin, Paracetamol"
sore throat,runny nose,,"Cetirizine, Azithromycin"
inflammation,cough,fever,"Azithromycin, Paracetamol, Diclofenac"
fever,diarrhea,,"Lomotil, Paracetamol"
nausea,fungal infection,runny nose,"Cetirizine, Aciloc"
joint pain,pain,,Diclofenac
skin rash,bacterial infection,,"Cetirizine, Azithromycin"
diarrhea,sneezing,runny nose,"Cetirizine, Lomotil"
headache,stomach acid,,"Aciloc, Paracetamol"
itchy eyes,skin rash,,Cetirizine
cough,,,Azithromycin
muscle pain,,,Paracetamol
headache,respiratory infection,sore throat,"Azithromycin, Paracetamol"
joint pain,,,Diclofenac
runny nose,stomach cramps,,"Cetirizine, Lomotil"
sneezing,stomach cramps,,"Cetirizine, Lomotil"
joint pain,itchy eyes,respiratory infection,"Cetirizine, Azithromycin, Diclofenac"
runny nose,fever,,"Cetirizine, Paracetamol"
skin rash,joint pain,,"Cetirizine, Diclofenac"
headache,inflammation,,"Paracetamol, Diclofenac"
skin rash,headache,,"Cetirizine, Paracetamol"
runny nose,pain,diarrhea,"Cetirizine, Lomotil, Diclofenac"
stomach cramps,nausea,diarrhea,"Aciloc, Lomotil"
inflammation,muscle pain,cough,"Azithromycin, Paracetamol, Diclofenac"
stomach acid,muscle pain,sneezing,"Cetirizine, Aciloc, Paracetamol"
joint pain,headache,skin rash,"Cetirizine, Paracetamol, Diclofenac"
pain,nausea,stomach acid,"Aciloc, Diclofenac"
runny nose,sneezing,sore throat,"Cetirizine, Azithromycin"
headache,stomach cramps,,"Lomotil, Paracetamol"
stomach cramps,pain,skin rash,"Cetirizine, Lomotil, Diclofenac"
respiratory infection,,,Azithromycin
fever,skin rash,itchy eyes,"Cetirizine, Paracetamol"
sore throat,,,Azithromycin
bacterial infection,muscle pain,stomach cramps,"Azithromycin, Lomotil, Paracetamol"
cough,heartburn,,"Azithromycin, Aciloc"
runny nose,fever,,"Cetirizine, Paracetamol"
sneezing,,,Cetirizine
joint pain,,,Diclofenac
stomach acid,joint pain,itchy eyes,"Cetirizine, Aciloc, Diclofenac"
inflammation,joint pain,skin rash,"Cetirizine, Diclofenac"
bacterial infection,,,Azithromycin
inflammation,,,Diclofenac
nausea,stomach cramps,,"Aciloc, Lomotil"
sneezing,bacterial infection,,"Cetirizine, Azithromycin"
itchy eyes,heartburn,,"Cetirizine, Aciloc"
sore throat,,,Azithromycin
nausea,inflammation,itchy eyes,"Cetirizine, Aciloc, Diclofenac"
runny nose,,,Cetirizine
itchy eyes,,,Cetirizine
itchy eyes,diarrhea,,"Cetirizine, Lomotil"
muscle pain,inflammation,,"Paracetamol, Diclofenac"
sneezing,,,Cetirizine
respiratory infection,heartburn,,"Azithromycin, Aciloc"
diarrhea,,,Lomotil
itchy eyes,stomach acid,sore throat,"Cetirizine, Aciloc, Azithromycin"
respiratory infection,,,Azithromycin
sneezing,,,Cetirizine
itchy eyes,muscle pain,,"Cetirizine, Paracetamol"
fungal infection,bacterial infection,,"Cetirizine, Azithromycin"
pain,,,Diclofenac
inflammation,diarrhea,,"Lomotil, Diclofenac"
fever,,,Paracetamol
headache,respiratory infection,muscle pain,"Azithromycin, Paracetamol"
stomach cramps,bacterial infection,,"Azithromycin, Lomotil"
muscle pain,sneezing,fever,"Cetirizine, Paracetamol"
skin rash,,,Cetirizine
fungal infection,headache,,"Cetirizine, Paracetamol"
muscle pain,,,Paracetamol
heartburn,pain,,"Aciloc, Diclofenac"
runny nose,bacterial infection,,"Cetirizine, Azithromycin"
sore throat,,,Azithromycin
sneezing,runny nose,nausea,"Cetirizine, Aciloc"
skin rash,respiratory infection,,"Cetirizine, Azithromycin"
sore throat,bacterial infection,,Azithromycin
fever,muscle pain,,Paracetamol
stomach cramps,,,Lomotil
sneezing,,,Cetirizine
respiratory infection,,,Azithromycin
fungal infection,,,Cetirizine
inflammation,,,Diclofenac
joint pain,pain,,Diclofenac
inflammation,,,Diclofenac
fever,,,Paracetamol
bacterial infection,,,Azithromycin
pain,nausea,,"Aciloc, Diclofenac"
stomach cramps,sneezing,,"Cetirizine, Lomotil"
muscle pain,skin rash,,"Cetirizine, Paracetamol"
fever,,,Paracetamol
skin rash,headache,,"Cetirizine, Paracetamol"
diarrhea,nausea,cough,"Azithromycin, Aciloc, Lomotil"
heartburn,stomach cramps,,"Aciloc, Lomotil"
sneezing,nausea,fever,"Cetirizine, Aciloc, Paracetamol"
respiratory infection,stomach acid,sneezing,"Cetirizine, Azithromycin, Aciloc"
diarrhea,,,Lomotil
runny nose,fever,,"Cetirizine, Paracetamol"
stomach acid,nausea,fever,"Aciloc, Paracetamol"
joint pain,itchy eyes,diarrhea,"Cetirizine, Lomotil, Diclofenac"
muscle pain,,,Paracetamol
stomach acid,runny nose,joint pain,"Cetirizine, Aciloc, Diclofenac"
fungal infection,inflammation,,"Cetirizine, Diclofenac"
cough,nausea,muscle pain,"Azithromycin, Aciloc, Paracetamol"
inflammation,sneezing,cough,"Cetirizine, Azithromycin, Diclofenac"
diarrhea,bacterial infection,respiratory infection,"Azithromycin, Lomotil"
stomach acid,bacterial infection,,"Azithromycin, Aciloc"
inflammation,,,Diclofenac
skin rash,,,Cetirizine
stomach acid,joint pain,inflammation,"Aciloc, Diclofenac"
itchy eyes,sore throat,fever,"Cetirizine, Azithromycin, Paracetamol"
diarrhea,,,Lomotil
heartburn,,,Aciloc
sore throat,nausea,heartburn,"Azithromycin, Aciloc"
stomach acid,,,Aciloc
heartburn,,,Aciloc
itchy eyes,bacterial infection,,"Cetirizine, Azithromycin"
joint pain,bacterial infection,diarrhea,"Azithromycin, Lomotil, Diclofenac"
respiratory infection,,,Azithromycin
sneezing,,,Cetirizine
respiratory infection,fever,,"Azithromycin, Paracetamol"
nausea,,,Aciloc
fever,bacterial infection,itchy eyes,"Cetirizine, Azithromycin, Paracetamol"
diarrhea,,,Lomotil
cough,,,Azithromycin
fungal infection,,,Cetirizine
sore throat,,,Azithromycin
heartburn,cough,stomach cramps,"Azithromycin, Aciloc, Lomotil"
fungal infection,,,Cetirizine
headache,bacterial infection,,"Azithromycin, Paracetamol"
headache,skin rash,cough,"Cetirizine, Azithromycin, Paracetamol"
cough,,,Azithromycin
itchy eyes,,,Cetirizine
joint pain,diarrhea,,"Lomotil, Diclofenac"
stomach acid,skin rash,itchy eyes,"Cetirizine, Aciloc"
fungal infection,pain,heartburn,"Cetirizine, Aciloc, Diclofenac"
stomach cramps,cough,pain,"Azithromycin, Lomotil, Diclofenac"
runny nose,stomach cramps,,"Cetirizine, Lomotil"
respiratory infection,sneezing,,"Cetirizine, Azithromycin"
sore throat,diarrhea,,"Azithromycin, Lomotil"
stomach acid,,,Aciloc
muscle pain,sore throat,,"Azithromycin, Paracetamol"
fungal infection,inflammation,skin rash,"Cetirizine, Diclofenac"
pain,bacterial infection,nausea,"Azithromycin, Aciloc, Diclofenac"
stomach acid,,,Aciloc
fungal infection,,,Cetirizine
nausea,,,Aciloc
skin rash,sore throat,,"Cetirizine, Azithromycin"
diarrhea,,,Lomotil
pain,joint pain,,Diclofenac
muscle pain,,,Paracetamol
bacterial infection,diarrhea,skin rash,"Cetirizine, Azithromycin, Lomotil"
skin rash,,,Cetirizine
muscle pain,,,Paracetamol
itchy eyes,fungal infection,,Cetirizine
cough,,,Azithromycin
skin rash,pain,,"Cetirizine, Diclofenac"
diarrhea,,,Lomotil
bacterial infection,itchy eyes,fever,"Cetirizine, Azithromycin, Paracetamol"
pain,joint pain,,Diclofenac
muscle pain,headache,,Paracetamol
respiratory infection,,,Azithromycin
runny nose,skin rash,,Cetirizine
fever,sneezing,stomach cramps,"Cetirizine, Lomotil, Paracetamol"
skin rash,diarrhea,,"Cetirizine, Lomotil"
stomach acid,,,Aciloc
stomach acid,stomach cramps,,"Aciloc, Lomotil"
fungal infection,inflammation,,"Cetirizine, Diclofenac"
muscle pain,joint pain,,"Paracetamol, Diclofenac"
nausea,,,Aciloc
skin rash,,,Cetirizine
headache,,,Paracetamol
sore throat,,,Azithromycin
muscle pain,joint pain,,"Paracetamol, Diclofenac"
muscle pain,,,Paracetamol
itchy eyes,fungal infection,headache,"Cetirizine, Paracetamol"
fever,,,Paracetamol
sneezing,itchy eyes,,Cetirizine
sneezing,,,Cetirizine
stomach cramps,,,Lomotil
headache,,,Paracetamol
respiratory infection,runny nose,,"Cetirizine, Azithromycin"
nausea,,,Aciloc
stomach acid,respiratory infection,,"Azithromycin, Aciloc"
muscle pain,fungal infection,heartburn,"Cetirizine, Aciloc, Paracetamol"
stomach cramps,,,Lomotil
headache,,,Paracetamol
muscle pain,inflammation,sneezing,"Cetirizine, Paracetamol, Diclofenac"
diarrhea,respiratory infection,stomach cramps,"Azithromycin, Lomotil"
sneezing,diarrhea,fever,"Cetirizine, Lomotil, Paracetamol"
fungal infection,,,Cetirizine
sore throat,fungal infection,,"Cetirizine, Azithromycin"
stomach acid,fever,,"Aciloc, Paracetamol"
pain,fever,sore throat,"Azithromycin, Paracetamol, Diclofenac"
stomach cramps,,,Lomotil
muscle pain,cough,,"Azithromycin, Paracetamol"
respiratory infection,muscle pain,,"Azithromycin, Paracetamol"
sneezing,,,Cetirizine
stomach acid,,,Aciloc
heartburn,nausea,diarrhea,"Aciloc, Lomotil"
fever,stomach acid,bacterial infection,"Azithromycin, Aciloc, Paracetamol"
stomach acid,,,Aciloc
nausea,,,Aciloc
nausea,,,Aciloc
nausea,,,Aciloc
inflammation,nausea,skin rash,"Cetirizine, Aciloc, Diclofenac"
itchy eyes,sore throat,nausea,"Cetirizine, Azithromycin, Aciloc"
muscle pain,,,Paracetamol
sneezing,stomach cramps,,"Cetirizine, Lomotil"
respiratory infection,,,Azithromycin
joint pain,fever,stomach cramps,"Lomotil, Paracetamol, Diclofenac"
inflammation,cough,,"Azithromycin, Diclofenac"
muscle pain,diarrhea,,"Lomotil, Paracetamol"
sneezing,cough,headache,"Cetirizine, Azithromycin, Paracetamol"
stomach acid,,,Aciloc
muscle pain,itchy eyes,sore throat,"Cetirizine, Azithromycin, Paracetamol"
headache,skin rash,,"Cetirizine, Paracetamol"
heartburn,bacterial infection,itchy eyes,"Azithromycin, Aciloc, Cetirizine"
fungal infection,runny nose,headache,"Cetirizine, Paracetamol"
muscle pain,skin rash,nausea,"Cetirizine, Aciloc, Paracetamol"
pain,,,Diclofenac
heartburn,,,Aciloc
fever,,,Paracetamol
respiratory infection,itchy eyes,,"Cetirizine, Azithromycin"
skin rash,bacterial infection,,"Cetirizine, Azithromycin"
headache,stomach acid,joint pain,"Aciloc, Paracetamol, Diclofenac"
fever,muscle pain,,Paracetamol
runny nose,,,Cetirizine
stomach acid,stomach cramps,,"Aciloc, Lomotil"
itchy eyes,muscle pain,headache,"Cetirizine, Paracetamol"
itchy eyes,diarrhea,,"Cetirizine, Lomotil"
stomach acid,sneezing,fever,"Cetirizine, Aciloc, Paracetamol"
stomach cramps,inflammation,,"Lomotil, Diclofenac"
respiratory infection,stomach acid,,"Azithromycin, Aciloc"
pain,,,Diclofenac
sore throat,runny nose,,"Cetirizine, Azithromycin"
diarrhea,,,Lomotil
sneezing,,,Cetirizine
stomach acid,,,Aciloc
runny nose,nausea,,"Cetirizine, Aciloc"
stomach cramps,fever,,"Lomotil, Paracetamol"
sneezing,itchy eyes,,Cetirizine
inflammation,headache,,"Paracetamol, Diclofenac"
nausea,,,Aciloc
muscle pain,sore throat,,"Azithromycin, Paracetamol"
nausea,pain,inflammation,"Aciloc, Diclofenac"
fungal infection,pain,itchy eyes,"Cetirizine, Diclofenac"
fever,,,Paracetamol
stomach cramps,sneezing,,"Cetirizine, Lomotil"
itchy eyes,fungal infection,,Cetirizine
joint pain,bacterial infection,pain,"Azithromycin, Diclofenac"
runny nose,diarrhea,sore throat,"Cetirizine, Azithromycin, Lomotil"
inflammation,,,Diclofenac
diarrhea,pain,stomach cramps,"Lomotil, Diclofenac"
skin rash,,,Cetirizine
inflammation,fever,runny nose,"Cetirizine, Paracetamol, Diclofenac"
cough,,,Azithromycin
itchy eyes,,,Cetirizine
skin rash,diarrhea,respiratory infection,"Cetirizine, Azithromycin, Lomotil"
bacterial infection,pain,,"Azithromycin, Diclofenac"
headache,muscle pain,,Paracetamol
cough,,,Azithromycin
respiratory infection,nausea,,"Azithromycin, Aciloc"
skin rash,,,Cetirizine
respiratory infection,pain,,"Azithromycin, Diclofenac"
runny nose,muscle pain,,"Cetirizine, Paracetamol"
muscle pain,joint pain,fever,"Paracetamol, Diclofenac"
sneezing,headache,,"Cetirizine, Paracetamol"
inflammation,headache,nausea,"Aciloc, Paracetamol, Diclofenac"
fungal infection,diarrhea,,"Cetirizine, Lomotil"
stomach acid,inflammation,runny nose,"Cetirizine, Aciloc, Diclofenac"
muscle pain,itchy eyes,,"Cetirizine, Paracetamol"
sore throat,,,Azithromycin
stomach cramps,sneezing,,"Cetirizine, Lomotil"
skin rash,,,Cetirizine
muscle pain,nausea,,"Aciloc, Paracetamol"
stomach acid,muscle pain,,"Aciloc, Paracetamol"
headache,,,Paracetamol
inflammation,diarrhea,,"Lomotil, Diclofenac"
cough,,,Azithromycin
stomach acid,bacterial infection,respiratory infection,"Azithromycin, Aciloc"
inflammation,sore throat,,"Azithromycin, Diclofenac"
cough,,,Azithromycin
heartburn,,,Aciloc
pain,runny nose,,"Cetirizine, Diclofenac"
respiratory infection,inflammation,,"Azithromycin, Diclofenac"
cough,fungal infection,stomach cramps,"Cetirizine, Azithromycin, Lomotil"
pain,inflammation,skin rash,"Cetirizine, Diclofenac"
muscle pain,bacterial infection,runny nose,"Cetirizine, Azithromycin, Paracetamol"
fever,,,Paracetamol
cough,fungal infection,,"Cetirizine, Azithromycin"
respiratory infection,,,Azithromycin
joint pain,stomach cramps,,"Lomotil, Diclofenac"
inflammation,,,Diclofenac
nausea,runny nose,respiratory infection,"Cetirizine, Aciloc, Azithromycin"
headache,nausea,,"Aciloc, Paracetamol"
stomach acid,itchy eyes,,"Cetirizine, Aciloc"
pain,runny nose,headache,"Cetirizine, Paracetamol, Diclofenac"
respiratory infection,pain,itchy eyes,"Cetirizine, Azithromycin, Diclofenac"
stomach acid,skin rash,,"Cetirizine, Aciloc"
skin rash,fungal infection,sneezing,Cetirizine
bacterial infection,,,Azithromycin
diarrhea,respiratory infection,,"Azithromycin, Lomotil"
fever,,,Paracetamol
inflammation,,,Diclofenac
bacterial infection,stomach cramps,joint pain,"Azithromycin, Lomotil, Diclofenac"
stomach cramps,,,Lomotil
pain,fever,respiratory infection,"Azithromycin, Paracetamol, Diclofenac"
diarrhea,pain,headache,"Paracetamol, Lomotil, Diclofenac"
inflammation,joint pain,,Diclofenac
skin rash,,,Cetirizine
itchy eyes,skin rash,diarrhea,"Cetirizine, Lomotil"
fever,heartburn,itchy eyes,"Cetirizine, Aciloc, Paracetamol"
respiratory infection,joint pain,sore throat,"Azithromycin, Diclofenac"
heartburn,bacterial infection,,"Azithromycin, Aciloc"
respiratory infection,bacterial infection,,Azithromycin
heartburn,pain,,"Aciloc, Diclofenac"
respiratory infection,diarrhea,,"Azithromycin, Lomotil"
joint pain,itchy eyes,,"Cetirizine, Diclofenac"
fungal infection,skin rash,stomach acid,"Cetirizine, Aciloc"
cough,nausea,,"Azithromycin, Aciloc"
muscle pain,,,Paracetamol
inflammation,cough,,"Azithromycin, Diclofenac"
stomach cramps,headache,,"Lomotil, Paracetamol"
sneezing,,,Cetirizine
stomach cramps,nausea,stomach acid,"Aciloc, Lomotil"
nausea,,,Aciloc
muscle pain,inflammation,,"Paracetamol, Diclofenac"
fungal infection,,,Cetirizine
inflammation,sore throat,,"Azithromycin, Diclofenac"
respiratory infection,,,Azithromycin
nausea,skin rash,joint pain,"Cetirizine, Aciloc, Diclofenac"
respiratory infection,,,Azithromycin
sneezing,muscle pain,bacterial infection,"Cetirizine, Azithromycin, Paracetamol"
fever,sneezing,,"Cetirizine, Paracetamol"
fungal infection,diarrhea,bacterial infection,"Cetirizine, Azithromycin, Lomotil"
respiratory infection,pain,cough,"Azithromycin, Diclofenac"
respiratory infection,fungal infection,,"Cetirizine, Azithromycin"
muscle pain,,,Paracetamol
cough,,,Azithromycin
inflammation,,,Diclofenac
skin rash,stomach cramps,joint pain,"Cetirizine, Lomotil, Diclofenac"
fungal infection,,,Cetirizine
joint pain,stomach cramps,runny nose,"Cetirizine, Lomotil, Diclofenac"
respiratory infection,pain,bacterial infection,"Azithromycin, Diclofenac"
fungal infection,,,Cetirizine
respiratory infection,heartburn,bacterial infection,"Azithromycin, Aciloc"
runny nose,,,Cetirizine
sneezing,itchy eyes,diarrhea,"Cetirizine, Lomotil"
headache,,,Paracetamol
fungal infection,pain,,"Cetirizine, Diclofenac"
itchy eyes,bacterial infection,,"Cetirizine, Azithromycin"
muscle pain,sneezing,,"Cetirizine, Paracetamol"
muscle pain,stomach cramps,,"Lomotil, Paracetamol"
itchy eyes,joint pain,,"Cetirizine, Diclofenac"
stomach cramps,,,Lomotil
headache,diarrhea,,"Lomotil, Paracetamol"
runny nose,fungal infection,nausea,"Cetirizine, Aciloc"
cough,heartburn,diarrhea,"Azithromycin, Lomotil, Aciloc"
bacterial infection,joint pain,,"Azithromycin, Diclofenac"
pain,inflammation,,Diclofenac
heartburn,,,Aciloc
diarrhea,fungal infection,,"Cetirizine, Lomotil"
stomach acid,sneezing,,"Cetirizine, Aciloc"
joint pain,headache,,"Paracetamol, Diclofenac"
skin rash,joint pain,muscle pain,"Cetirizine, Paracetamol, Diclofenac"
fever,respiratory infection,stomach acid,"Azithromycin, Paracetamol, Aciloc"
bacterial infection,runny nose,respiratory infection,"Cetirizine, Azithromycin"
fever,,,Paracetamol
nausea,joint pain,fungal infection,"Cetirizine, Aciloc, Diclofenac"
nausea,itchy eyes,,"Cetirizine, Aciloc"
muscle pain,bacterial infection,fever,"Azithromycin, Paracetamol"
pain,heartburn,cough,"Azithromycin, Aciloc, Diclofenac"
skin rash,runny nose,,Cetirizine
stomach cramps,respiratory infection,heartburn,"Azithromycin, Lomotil, Aciloc"
cough,inflammation,,"Azithromycin, Diclofenac"
fungal infection,,,Cetirizine
sore throat,runny nose,,"Cetirizine, Azithromycin"
runny nose,,,Cetirizine
sore throat,respiratory infection,muscle pain,"Azithromycin, Paracetamol"
respiratory infection,fungal infection,,"Cetirizine, Azithromycin"
nausea,,,Aciloc
muscle pain,joint pain,skin rash,"Cetirizine, Paracetamol, Diclofenac"
heartburn,,,Aciloc
respiratory infection,,,Azithromycin
joint pain,inflammation,sneezing,"Cetirizine, Diclofenac"
nausea,heartburn,,Aciloc
diarrhea,headache,,"Lomotil, Paracetamol"
itchy eyes,nausea,,"Cetirizine, Aciloc"
bacterial infection,pain,,"Azithromycin, Diclofenac"
sore throat,inflammation,,"Azithromycin, Diclofenac"
respiratory infection,stomach acid,pain,"Azithromycin, Aciloc, Diclofenac"
runny nose,pain,itchy eyes,"Cetirizine, Diclofenac"
fungal infection,itchy eyes,,Cetirizine
sneezing,,,Cetirizine
cough,runny nose,,"Cetirizine, Azithromycin"
bacterial infection,joint pain,,"Azithromycin, Diclofenac"
headache,,,Paracetamol
itchy eyes,,,Cetirizine
stomach acid,,,Aciloc
itchy eyes,,,Cetirizine
fever,sneezing,itchy eyes,"Cetirizine, Paracetamol"
runny nose,cough,,"Cetirizine, Azithromycin"
inflammation,heartburn,cough,"Azithromycin, Aciloc, Diclofenac"
joint pain,,,Diclofenac
runny nose,muscle pain,headache,"Cetirizine, Paracetamol"
skin rash,sore throat,headache,"Cetirizine, Azithromycin, Paracetamol"
fever,itchy eyes,fungal infection,"Cetirizine, Paracetamol"
